Unnamed: 0,Product,Type,Release Date,Process Size,TDP,Die Size,Transistors,Freq,Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
111,AMD Sempron 3400+ EE SFF,CPU,2006-05-23,90.0,35.0,103.0,81.0,1800.0,Unknown,AMD,,,
2333,NVIDIA Quadro 4100,GPU,NaT,28.0,35.0,294.0,3540.0,797.0,TSMC,NVIDIA,,2142.0,89.26
367,Intel Atom CE4150,CPU,2009-09-24,45.0,7.0,26.0,47.0,1200.0,Intel,Intel,,,
1723,AMD Athlon 64 4000+,CPU,2004-10-19,90.0,89.0,115.0,105.0,2400.0,Unknown,AMD,,,
1702,AMD Ryzen Threadripper 3970X,CPU,2019-11-25,7.0,280.0,74.0,3800.0,3700.0,TSMC,AMD,,,
220,Intel Pentium 4 HT 3.20,CPU,2003-06-23,130.0,82.0,131.0,55.0,3200.0,Intel,Intel,,,
2867,Intel Xeon Phi 5120D,GPU,2013-06-17,22.0,245.0,350.0,5000.0,1053.0,Intel,Intel,,505.4,
627,Intel Celeron G1620,CPU,2012-12-03,22.0,55.0,94.0,,2700.0,Intel,Intel,,,
1075,AMD EPYC 7413,CPU,2021-03-15,7.0,180.0,,,2650.0,TSMC,AMD,,,
1451,Intel Celeron 807,CPU,2012-07-01,32.0,17.0,131.0,504.0,1500.0,Intel,Intel,,,
3189,AMD Radeon R7 M465,GPU,2016-05-15,28.0,,56.0,690.0,825.0,TSMC,AMD,,737.3,46.08
2305,AMD Radeon HD 6310 IGP,GPU,2010-11-09,40.0,18.0,75.0,450.0,488.0,TSMC,AMD,,78.08,
790,Intel Core i7-11700F,CPU,2021-03-16,14.0,65.0,,,2500.0,Intel,Intel,,,
1788,AMD Opteron X2170,CPU,2016-09-01,28.0,25.0,,,2400.0,Unknown,AMD,,,
461,Intel Core 2 Duo U7600,CPU,2007-04-27,65.0,10.0,111.0,293.0,1200.0,Intel,Intel,,,
4275,NVIDIA P104-100,GPU,2017-12-12,16.0,,314.0,7200.0,1607.0,TSMC,NVIDIA,104.0,6655.0,208.0
3464,NVIDIA GeForce 210,GPU,2009-10-12,40.0,31.0,57.0,260.0,520.0,TSMC,NVIDIA,,39.36,
551,AMD EPYC 7301,CPU,2017-06-29,14.0,170.0,213.0,4800.0,2200.0,GF,AMD,,,
1330,AMD Athlon 64 3800+,CPU,2005-04-04,90.0,89.0,83.0,69.0,2400.0,Unknown,AMD,,,
4208,ATI Radeon X1300 PRO,GPU,2006-11-01,80.0,31.0,100.0,107.0,600.0,UMC,ATI,,,
2067,AMD Ryzen 7 PRO 1700X,CPU,2017-06-29,14.0,95.0,192.0,4800.0,3400.0,GF,AMD,,,
2851,NVIDIA GeForce GTS 450 Rev. 3,GPU,2012-07-11,40.0,106.0,238.0,1170.0,783.0,TSMC,NVIDIA,,451.0,37.58
198,Intel Pentium G3450,CPU,2014-05-01,22.0,54.0,177.0,1400.0,3300.0,Intel,Intel,,,
2463,AMD Radeon R3 Mobile Graphics,GPU,2016-06-01,28.0,15.0,125.0,1200.0,200.0,GF,AMD,167.7,167.7,10.48
1907,Intel Xeon Platinum 8260M,CPU,2018-12-11,14.0,165.0,,8000.0,2400.0,Intel,Intel,,,
402,AMD Athlon 64 3800+,CPU,2006-05-23,90.0,62.0,183.0,154.0,2400.0,Unknown,AMD,,,
1526,AMD EPYC Embedded 3251,CPU,2018-02-21,14.0,50.0,213.0,4800.0,2500.0,GF,AMD,,,
3268,ATI Radeon 9200 SE PCI,GPU,2003-03-01,150.0,28.0,98.0,36.0,200.0,UMC,ATI,,,
4852,NVIDIA GeForce FX 5200,GPU,2003-03-06,150.0,,65.0,29.0,250.0,TSMC,NVIDIA,,,
4629,AMD FirePro W6150M,GPU,2015-11-12,28.0,,160.0,2080.0,1075.0,TSMC,AMD,,1651.0,103.2
4701,AMD Radeon HD 7290 IGP,GPU,2012-06-06,40.0,18.0,75.0,450.0,276.0,TSMC,AMD,,44.16,
3066,NVIDIA GeForce 6800 GS,GPU,2005-11-07,130.0,,225.0,222.0,425.0,TSMC,NVIDIA,,,
4335,NVIDIA GeForce 920A,GPU,2015-03-13,28.0,33.0,87.0,1020.0,954.0,TSMC,NVIDIA,,732.7,30.53
650,AMD Ryzen 5 PRO 2400G,CPU,2018-05-10,14.0,65.0,210.0,4950.0,3600.0,GF,AMD,,,
708,Intel Pentium G860,CPU,2011-09-04,32.0,65.0,131.0,504.0,3000.0,Intel,Intel,,,
3894,NVIDIA GeForce GTX 1080 Ti,GPU,2017-03-10,16.0,250.0,471.0,11800.0,1481.0,TSMC,NVIDIA,177.2,11340.0,354.4
4287,NVIDIA GeForce FX 5700,GPU,2003-10-23,130.0,25.0,133.0,82.0,425.0,TSMC,NVIDIA,,,
4318,ATI Mobility Radeon HD 5730,GPU,2010-01-07,40.0,26.0,104.0,627.0,650.0,TSMC,ATI,,520.0,
4704,NVIDIA Quadro NVS 285,GPU,2006-06-06,110.0,18.0,110.0,75.0,275.0,TSMC,NVIDIA,,,
314,AMD Sempron 2500+,CPU,2005-07-07,90.0,62.0,84.0,63.0,1400.0,Unknown,AMD,,,
1094,Intel Xeon 7120N,CPU,2006-08-27,65.0,95.0,435.0,1328.0,3000.0,Intel,Intel,,,
113,AMD A6-3410MX,CPU,2011-06-14,32.0,45.0,228.0,1178.0,1600.0,Unknown,AMD,,,
960,Intel Core i3-9100F,CPU,2019-04-23,14.0,65.0,,,3600.0,Intel,Intel,,,
4743,NVIDIA GeForce2 MX 400,GPU,2001-03-03,180.0,,64.0,20.0,200.0,TSMC,NVIDIA,,,
3158,AMD Radeon HD 6750M Mac Edition,GPU,2011-04-18,40.0,35.0,104.0,716.0,598.0,TSMC,AMD,,574.1,
4853,NVIDIA GeForce 9300 SE,GPU,2008-06-01,65.0,,86.0,210.0,540.0,TSMC,NVIDIA,,20.8,
1436,Intel Core i7-2670QM,CPU,2011-10-12,32.0,45.0,216.0,1160.0,2200.0,Intel,Intel,,,
3038,AMD Playstation 4 GPU,GPU,2013-11-24,28.0,75.0,348.0,,800.0,TSMC,AMD,1843.0,1843.0,
3174,NVIDIA GeForce 7650 GS,GPU,2006-03-22,90.0,,125.0,177.0,450.0,TSMC,NVIDIA,,,
3243,ATI Radeon HD 5770 Mac Edition,GPU,2010-07-04,40.0,108.0,166.0,1040.0,850.0,TSMC,ATI,,1360.0,
4400,NVIDIA Quadro M6000 24 GB,GPU,2016-03-05,28.0,250.0,601.0,8000.0,988.0,TSMC,NVIDIA,,6844.0,213.9
4739,ATI Radeon HD 4290 IGP,GPU,2010-03-01,55.0,,67.0,181.0,500.0,Unknown,ATI,,40.0,
3024,NVIDIA GeForce RTX 3080 Mobile,GPU,2021-01-12,8.0,115.0,392.0,17400.0,1110.0,Samsung,NVIDIA,18980.0,18980.0,296.6
2789,NVIDIA GeForce 945A,GPU,2015-03-13,28.0,33.0,,,1006.0,TSMC,NVIDIA,,913.2,28.54
3831,3dfx Voodoo4 4800 AGP,GPU,NaT,250.0,15.0,112.0,14.0,166.0,TSMC,Other,,,
3395,ATI Radeon HD 4670 AGP,GPU,2009-07-17,55.0,59.0,146.0,514.0,750.0,TSMC,ATI,,480.0,
4053,ATI Radeon HD 2900 XT,GPU,2007-05-14,80.0,215.0,420.0,720.0,743.0,TSMC,ATI,,475.5,
2865,AMD Radeon R5 A335,GPU,2015-10-21,28.0,,56.0,690.0,1070.0,TSMC,AMD,,684.8,
3078,ATI Radeon HD 3200 Mobile IGP,GPU,2009-11-01,65.0,,85.0,180.0,380.0,Unknown,ATI,,30.4,
3949,ATI Radeon HD 2900 GT,GPU,2007-11-06,80.0,150.0,420.0,720.0,601.0,TSMC,ATI,,288.5,
1210,Intel Core m3-8114Y,CPU,2018-05-05,10.0,28.0,123.0,,1500.0,Intel,Intel,,,
3289,Intel HD Graphics 3000,GPU,2011-02-01,32.0,,149.0,624.0,850.0,Intel,Intel,,211.2,
3161,NVIDIA Tesla V100 PCIe 32 GB,GPU,2018-03-27,12.0,250.0,815.0,21100.0,1230.0,TSMC,NVIDIA,28260.0,14130.0,7066.0
1891,Intel Xeon W3520,CPU,2009-03-30,45.0,130.0,263.0,731.0,2666.0,Intel,Intel,,,
3788,NVIDIA Quadro Plex 7000,GPU,2011-07-25,40.0,600.0,520.0,3000.0,574.0,TSMC,NVIDIA,,1176.0,587.8
789,AMD Athlon 64 X2 4600+,CPU,2006-05-23,90.0,110.0,156.0,154.0,2400.0,Unknown,AMD,,,
2153,Intel Pentium Gold G6505,CPU,2021-03-16,14.0,65.0,,,4200.0,Intel,Intel,,,
1144,AMD Athlon Gold 3150GE,CPU,2020-07-21,12.0,35.0,,,3500.0,GF,AMD,,,
4728,AMD Radeon RX 470D,GPU,2016-10-21,14.0,120.0,232.0,5700.0,926.0,GF,AMD,4322.0,4322.0,270.1
871,AMD Opteron X2 275 HE,CPU,2006-02-01,90.0,55.0,,233.0,2200.0,Unknown,AMD,,,
4521,NVIDIA Quadro FX 2000,GPU,2003-01-21,130.0,,199.0,125.0,400.0,TSMC,NVIDIA,,,
4497,NVIDIA GeForce GTX 1060 8 GB GDDR5X,GPU,NaT,16.0,120.0,314.0,7200.0,1506.0,TSMC,NVIDIA,68.36,4375.0,136.7
73,Intel Core i7-3555LE,CPU,2012-06-03,22.0,25.0,118.0,,2500.0,Intel,Intel,,,
1593,Intel Core i7-8706G,CPU,2018-02-01,14.0,65.0,,,3100.0,Intel,Intel,,,
1293,Intel Pentium 4 2.4,CPU,2002-04-02,130.0,110.0,146.0,55.0,2400.0,Intel,Intel,,,
1222,AMD Athlon X2 6500 BE,CPU,2008-09-08,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,,,
2858,NVIDIA GeForce 6800 GT DDL,GPU,2004-04-14,130.0,80.0,287.0,222.0,350.0,TSMC,NVIDIA,,,
1756,Intel Xeon E3-1280 v2,CPU,2012-05-14,22.0,69.0,160.0,1400.0,3600.0,Intel,Intel,,,
4446,NVIDIA GeForce FX 5900 XT,GPU,2003-05-12,130.0,35.0,207.0,135.0,400.0,TSMC,NVIDIA,,,
3615,NVIDIA GeForce GTX 960,GPU,2015-01-22,28.0,120.0,228.0,2940.0,1127.0,TSMC,NVIDIA,,2413.0,75.39
2135,Intel Core i5-8500,CPU,2018-02-14,14.0,65.0,,,3000.0,Intel,Intel,,,
2741,ATI Radeon X1600 XT,GPU,2007-10-01,90.0,42.0,150.0,157.0,590.0,TSMC,ATI,,,
4458,NVIDIA GeForce4 Ti 4400,GPU,2002-02-06,150.0,,142.0,63.0,275.0,TSMC,NVIDIA,,,
494,AMD Turion X2 Ultra ZM-88,CPU,2008-12-01,65.0,35.0,,,2500.0,Unknown,AMD,,,
2974,ATI Radeon X1950 CrossFire Edition,GPU,2006-09-10,90.0,,352.0,384.0,650.0,TSMC,ATI,,,
2083,AMD A8-4555M,CPU,2012-09-27,32.0,19.0,246.0,1178.0,1600.0,Unknown,AMD,,,
1614,Intel Celeron 2950M,CPU,2013-09-01,22.0,37.0,118.0,1400.0,2000.0,Intel,Intel,,,
3127,NVIDIA GeForce GT 645 OEM,GPU,2012-04-24,40.0,102.0,332.0,1950.0,776.0,TSMC,NVIDIA,,894.0,74.5
2589,NVIDIA Quadro FX 4400,GPU,2005-07-28,130.0,83.0,287.0,222.0,375.0,TSMC,NVIDIA,,,
1362,AMD Athlon II X4 641,CPU,2012-02-06,32.0,100.0,228.0,1178.0,2800.0,Unknown,AMD,,,
2073,AMD Athlon XP 2600+,CPU,2003-09-01,130.0,68.0,,63.0,2133.0,Unknown,AMD,,,
2487,NVIDIA PG506-232,GPU,2021-04-12,7.0,165.0,826.0,54200.0,930.0,TSMC,NVIDIA,10320.0,10320.0,5161.0
618,AMD Athlon 64 FX-76,CPU,2006-11-01,90.0,125.0,235.0,227.0,3200.0,Unknown,AMD,,,
1545,AMD Opteron X2 865 HE,CPU,2005-08-01,90.0,55.0,,233.0,1800.0,Unknown,AMD,,,
1536,AMD Ryzen Threadripper 2920X,CPU,2018-10-03,12.0,180.0,213.0,19200.0,3500.0,GF,AMD,,,
2663,AMD Radeon R8 M365DX,GPU,2015-06-03,28.0,,125.0,1550.0,900.0,TSMC,AMD,864.0,864.0,54.0
2727,NVIDIA GeForce GTX 780M,GPU,2013-05-11,28.0,122.0,294.0,3540.0,771.0,TSMC,NVIDIA,,2448.0,102.0
3826,NVIDIA GeForce GT 545 OEM,GPU,2011-05-14,40.0,105.0,238.0,1170.0,871.0,TSMC,NVIDIA,,501.4,41.78
3312,NVIDIA GeForce GT 555M,GPU,2011-07-02,40.0,35.0,238.0,1170.0,590.0,TSMC,NVIDIA,,339.8,28.32
869,Intel Xeon 7110N,CPU,2006-08-27,65.0,95.0,435.0,1328.0,2500.0,Intel,Intel,,,
2587,NVIDIA Quadro 1000M,GPU,2011-01-13,40.0,45.0,116.0,585.0,700.0,TSMC,NVIDIA,,268.8,22.4
1042,AMD FX-4350,CPU,2013-04-29,32.0,125.0,315.0,1200.0,4200.0,Unknown,AMD,,,
1556,AMD Sempron X2 2100,CPU,2008-03-01,65.0,65.0,118.0,221.0,1800.0,Unknown,AMD,,,
356,AMD Sempron 2800+,CPU,2005-07-15,90.0,25.0,,69.0,1600.0,Unknown,AMD,,,
2714,AMD Radeon R7 450 OEM,GPU,2016-06-30,28.0,65.0,123.0,1500.0,925.0,TSMC,AMD,,947.2,59.2
4721,NVIDIA NVS 310,GPU,2012-06-26,40.0,20.0,79.0,292.0,523.0,TSMC,NVIDIA,,100.4,8.368
1566,AMD Opteron 146 HE,CPU,2004-02-14,130.0,55.0,193.0,106.0,2000.0,Unknown,AMD,,,
2880,AMD Radeon R9 260 OEM,GPU,2013-12-21,28.0,85.0,160.0,2080.0,1100.0,TSMC,AMD,,1971.0,123.2
4655,NVIDIA GeForce G105M,GPU,2009-01-08,65.0,14.0,86.0,210.0,640.0,TSMC,NVIDIA,,25.6,
1971,AMD Athlon 64 3800+,CPU,2007-02-20,90.0,62.0,230.0,227.0,2400.0,Unknown,AMD,,,
4410,Intel GMA 3100,GPU,2007-05-09,90.0,13.0,,,400.0,Intel,Intel,,,
2707,NVIDIA GeForce 8600 GTS,GPU,2007-04-17,80.0,60.0,169.0,289.0,675.0,TSMC,NVIDIA,,92.8,
332,AMD Opteron 43GK HE,CPU,2012-12-04,32.0,65.0,315.0,1200.0,2600.0,Unknown,AMD,,,
1557,Intel Xeon MP 3.00,CPU,2005-03-29,90.0,135.0,,,3000.0,Intel,Intel,,,
4315,Intel GMA 3150,GPU,2007-05-09,45.0,13.0,66.0,123.0,400.0,Intel,Intel,,12.8,
3484,NVIDIA Tesla K40d,GPU,2013-11-22,28.0,245.0,561.0,7080.0,745.0,TSMC,NVIDIA,,5046.0,1682.0
1485,Intel Core i7-10850H,CPU,2020-04-02,14.0,45.0,,,2700.0,Intel,Intel,,,
2100,Intel Xeon 5030,CPU,2006-05-23,65.0,95.0,,,2667.0,Intel,Intel,,,
3377,AMD AeroBox GPU,GPU,2020-03-13,16.0,100.0,,,935.0,TSMC,AMD,3530.0,1765.0,110.3
3235,NVIDIA GeForce 8500 GT,GPU,2007-04-17,80.0,30.0,127.0,210.0,459.0,TSMC,NVIDIA,,29.38,
3103,NVIDIA GeForce GTX 780 6 GB,GPU,2013-09-10,28.0,250.0,561.0,7080.0,863.0,TSMC,NVIDIA,,4156.0,173.2
4520,AMD Radeon RX Vega 11 Mobile,GPU,2018-05-10,14.0,35.0,210.0,4940.0,300.0,GF,AMD,3523.0,1761.0,110.1
445,Intel Core i5-3475S,CPU,2012-06-01,22.0,65.0,160.0,1400.0,2900.0,Intel,Intel,,,
4050,3dfx Spectre 3000,GPU,NaT,,60.0,131.0,30.0,200.0,TSMC,Other,,,
452,AMD Phenom II X3 B73,CPU,2009-10-01,45.0,95.0,258.0,758.0,2800.0,Unknown,AMD,,,
2596,NVIDIA GRID K200,GPU,2013-06-28,28.0,225.0,294.0,3540.0,745.0,TSMC,NVIDIA,,2289.0,95.36
2805,Intel UHD Graphics 600,GPU,2017-12-11,14.0,5.0,,,200.0,Intel,Intel,249.6,124.8,31.2
14,AMD Phenom X4 9600 BE,CPU,2007-12-19,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,,,
2534,Intel GMA X4500,GPU,2008-06-01,65.0,13.0,,,533.0,Intel,Intel,,85.28,
945,Intel Core i7-3630QM,CPU,2012-09-01,22.0,45.0,160.0,1480.0,2400.0,Intel,Intel,,,
1966,AMD Sempron 3600+,CPU,2006-05-23,90.0,62.0,103.0,81.0,2000.0,Unknown,AMD,,,
3058,ATI Radeon HD 4730,GPU,2009-06-08,55.0,110.0,256.0,956.0,750.0,TSMC,ATI,,960.0,192.0
360,Intel Core i7-4960X,CPU,2013-09-03,22.0,130.0,257.0,1860.0,3600.0,Intel,Intel,,,
4524,AMD Radeon 625 Mobile,GPU,2019-05-13,28.0,50.0,125.0,1550.0,730.0,TSMC,AMD,786.4,786.4,49.15
1600,Intel Pentium 4 2.0,CPU,2001-08-27,180.0,72.0,217.0,42.0,2000.0,Intel,Intel,,,
2583,NVIDIA GeForce FX 5900 Ultra,GPU,2003-10-23,130.0,59.0,207.0,135.0,450.0,TSMC,NVIDIA,,,
1168,AMD Opteron X2 275,CPU,2005-05-31,90.0,95.0,,233.0,2200.0,Unknown,AMD,,,
3012,NVIDIA GeForce 6200 SE TurboCache,GPU,2004-12-15,110.0,,110.0,75.0,350.0,TSMC,NVIDIA,,,
1589,AMD Ryzen 5 3600,CPU,2019-07-07,7.0,65.0,74.0,3800.0,3600.0,TSMC,AMD,,,
4169,NVIDIA GeForce GTX 1070,GPU,2016-06-10,16.0,150.0,314.0,7200.0,1506.0,TSMC,NVIDIA,101.0,6463.0,202.0
2164,Intel Core 2 Duo T7400,CPU,2006-07-27,65.0,35.0,143.0,293.0,2166.0,Intel,Intel,,,
4744,AMD Radeon HD 6610,GPU,2013-03-20,40.0,39.0,104.0,627.0,650.0,TSMC,AMD,,520.0,
3607,Intel GMA 3600,GPU,2008-10-01,65.0,13.0,,,400.0,Intel,Intel,,25.6,
490,Intel Core i3-8350K,CPU,2017-10-05,14.0,91.0,,,4000.0,Intel,Intel,,,
862,Intel Pentium 4 519K,CPU,2005-01-01,90.0,84.0,109.0,125.0,3060.0,Intel,Intel,,,
2223,AMD Radeon RX 560 XT,GPU,2019-03-13,14.0,150.0,232.0,5700.0,1074.0,GF,AMD,4394.0,4394.0,274.6
2103,Intel Celeron D 325,CPU,2004-06-24,90.0,73.0,109.0,125.0,2533.0,Intel,Intel,,,
3659,AMD Radeon RX 580 2048SP,GPU,2018-10-15,14.0,150.0,232.0,5700.0,1168.0,GF,AMD,5259.0,5259.0,328.7
2330,ATI Radeon X300 SE HyperMemory,GPU,2006-10-25,110.0,30.0,74.0,107.0,325.0,TSMC,ATI,,,
3164,ATI Fire GL2,GPU,2000-06-01,,,156.0,,120.0,IBM,ATI,,,
506,AMD EPYC 7551P,CPU,2017-06-29,14.0,180.0,213.0,4800.0,2000.0,GF,AMD,,,
2547,NVIDIA GeForce RTX 3070 Mobile,GPU,2021-01-12,8.0,115.0,392.0,17400.0,1110.0,Samsung,NVIDIA,15970.0,15970.0,249.6
2732,NVIDIA Quadro K3000M,GPU,2012-06-01,28.0,75.0,294.0,3540.0,654.0,TSMC,NVIDIA,,753.4,31.39
3382,NVIDIA GeForce GT 750M,GPU,2013-01-09,28.0,50.0,118.0,1270.0,941.0,TSMC,NVIDIA,,742.7,30.94
1113,Intel Core 2 Duo T7500,CPU,2007-05-27,65.0,35.0,143.0,293.0,2200.0,Intel,Intel,,,
3380,ATI Radeon Xpress 1250 Mobile IGP,GPU,2007-02-28,90.0,,73.0,120.0,500.0,Unknown,ATI,,,
4475,NVIDIA GeForce 9500 GT Mac Edition,GPU,2010-05-19,55.0,50.0,121.0,314.0,550.0,TSMC,NVIDIA,,89.6,
2798,AMD Radeon R5 435 OEM,GPU,2016-06-30,28.0,50.0,56.0,690.0,1030.0,TSMC,AMD,,659.2,41.2
433,Intel Celeron 2.30,CPU,2003-03-31,130.0,73.0,146.0,55.0,2300.0,Intel,Intel,,,
4039,AMD Radeon R9 M280X,GPU,2015-02-05,28.0,,160.0,2080.0,1000.0,TSMC,AMD,,1971.0,123.2
2998,AMD Radeon R9 Nano,GPU,2015-08-27,28.0,175.0,596.0,8900.0,1000.0,TSMC,AMD,8192.0,8192.0,512.0
2696,NVIDIA GeForce 920MX,GPU,2016-03-25,28.0,16.0,,,965.0,TSMC,NVIDIA,,508.4,15.89
3892,AMD Radeon HD 8850M,GPU,2013-04-01,28.0,,123.0,1500.0,575.0,TSMC,AMD,,800.0,50.0
2634,ATI Radeon X700 PRO,GPU,2004-09-01,110.0,33.0,156.0,120.0,425.0,TSMC,ATI,,,
3101,NVIDIA GeForce2 Go,GPU,2000-11-11,180.0,2.0,64.0,20.0,143.0,TSMC,NVIDIA,,,
1281,Intel Core i5-7600K,CPU,2017-01-03,14.0,91.0,,,3800.0,Intel,Intel,,,
2771,NVIDIA GeForce MX250,GPU,2019-02-21,14.0,25.0,74.0,1800.0,1519.0,Samsung,NVIDIA,18.98,1215.0,37.97
1102,AMD Athlon X2 QL-62,CPU,2008-09-01,65.0,25.0,,,2000.0,Unknown,AMD,,,
3080,ATI Mobility Radeon HD 4860,GPU,2009-03-03,40.0,,137.0,826.0,650.0,TSMC,ATI,,832.0,166.4
3647,NVIDIA GeForce4 Ti 4200,GPU,2002-02-06,150.0,,142.0,63.0,250.0,TSMC,NVIDIA,,,
156,Intel Core i5-4200U,CPU,2013-06-04,22.0,15.0,118.0,1400.0,1600.0,Intel,Intel,,,
4311,AMD Radeon R9 390X,GPU,2015-06-18,28.0,275.0,438.0,6200.0,1050.0,TSMC,AMD,,5914.0,739.2
1612,Intel Core i9-7900X,CPU,2017-06-26,14.0,140.0,,,3300.0,Intel,Intel,,,
4749,NVIDIA Quadro NVS 420,GPU,2009-01-20,65.0,40.0,86.0,210.0,550.0,TSMC,NVIDIA,,22.4,
643,AMD Mobile Athlon 64 3000+,CPU,2003-08-01,130.0,82.0,193.0,106.0,1800.0,Unknown,AMD,,,
4046,NVIDIA GeForce GTX 760A,GPU,2014-03-17,28.0,55.0,221.0,2540.0,628.0,TSMC,NVIDIA,,1009.0,42.05
1068,AMD Sempron 3000+,CPU,2004-09-17,130.0,62.0,101.0,63.0,2000.0,Unknown,AMD,,,
3121,AMD FirePro W6170M,GPU,2014-08-25,28.0,,160.0,2080.0,1075.0,TSMC,AMD,,1651.0,103.2
2515,ATI Radeon X1600 XT Dual,GPU,NaT,90.0,,150.0,157.0,590.0,TSMC,ATI,,,
4119,AMD Radeon R9 390,GPU,2015-06-18,28.0,275.0,438.0,6200.0,1000.0,TSMC,AMD,,5120.0,640.0
3580,AMD Radeon HD 8730A,GPU,2013-04-01,28.0,,77.0,950.0,650.0,TSMC,AMD,,537.6,33.6
330,AMD Ryzen 7 4700U,CPU,2020-01-06,7.0,25.0,156.0,9800.0,1800.0,TSMC,AMD,,,
4238,NVIDIA Quadro T2000 Max-Q,GPU,2019-05-27,12.0,40.0,200.0,4700.0,1200.0,TSMC,NVIDIA,6636.0,3318.0,103.7
3130,AMD Radeon HD 6550M,GPU,2010-11-26,40.0,26.0,334.0,2154.0,600.0,TSMC,AMD,,480.0,
1992,AMD Phenom II X4 955 (95W),CPU,2009-04-01,45.0,95.0,258.0,758.0,3200.0,Unknown,AMD,,,
622,AMD Athlon X2 7850 BE,CPU,2009-04-28,65.0,95.0,285.0,450.0,2800.0,Unknown,AMD,,,
2210,ATI Radeon E4690 MXM,GPU,2009-06-01,55.0,30.0,146.0,514.0,600.0,TSMC,ATI,,384.0,
3247,NVIDIA GeForce 7950 GT,GPU,2006-08-06,90.0,65.0,196.0,278.0,550.0,TSMC,NVIDIA,,,
2757,AMD Radeon R9 370X,GPU,2015-08-27,28.0,180.0,212.0,2800.0,980.0,TSMC,AMD,,2637.0,164.8
1738,Intel Core i7-2760QM,CPU,2011-09-04,32.0,45.0,216.0,1160.0,2400.0,Intel,Intel,,,
4150,AMD Atari VCS 400 GPU,GPU,2020-12-14,14.0,15.0,210.0,4940.0,300.0,GF,AMD,922.4,461.2,28.82
2706,NVIDIA GeForce 310M,GPU,2010-01-10,40.0,14.0,57.0,260.0,625.0,TSMC,NVIDIA,,48.96,
755,AMD Athlon 64 3800+,CPU,2007-02-20,65.0,45.0,77.0,122.0,2400.0,Unknown,AMD,,,
